Year,Value,Units,Series
2013,7.3,,life satisfaction
2018,7.4,,life satisfaction
2022,6.5,,life satisfaction
2023,7.0,,life satisfaction
2024,7.0,,life satisfaction
2025,7.0,,life satisfaction
