Year,Units,Series,Type of unpaid work,Degree of urbanisation,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2013,Percentage,Time spent on unpaid domestic and care work,Care work,Urban,,,,,,1.2
2022,Percentage,Time spent on unpaid domestic and care work,Care work,Urban,,,,,,1.7
2013,Percentage,Time spent on unpaid domestic and care work,Care work,Rural areas,,,,,,1.1
2022,Percentage,Time spent on unpaid domestic and care work,Care work,Rural areas,,,,,,1.6
2013,Percentage,Time spent on unpaid domestic and care work,Care work,,15 years and older,,,,,1.3
2022,Percentage,Time spent on unpaid domestic and care work,Care work,,15 years and older,,,,,1.8
2013,Percentage,Time spent on unpaid domestic and care work,Care work,,25 to under 45 years,,,,,3.4
2022,Percentage,Time spent on unpaid domestic and care work,Care work,,25 to under 45 years,,,,,4.6
2013,Percentage,Time spent on unpaid domestic and care work,Care work,,45 to under 55 years,,,,,0.8
2022,Percentage,Time spent on unpaid domestic and care work,Care work,,45 to under 55 years,,,,,1.5
2022,Percentage,Time spent on unpaid domestic and care work,Care work,,55 to under 65 years,,,,,0.3
2013,Percentage,Time spent on unpaid domestic and care work,Care work,,,Female,,,,1.6
2022,Percentage,Time spent on unpaid domestic and care work,Care work,,,Female,,,,2.2
2013,Percentage,Time spent on unpaid domestic and care work,Care work,,,Male,,,,0.8
2022,Percentage,Time spent on unpaid domestic and care work,Care work,,,Male,,,,1.2
2013,Percentage,Time spent on unpaid domestic and care work,Care work,Urban,,Female,,,,1.6
2022,Percentage,Time spent on unpaid domestic and care work,Care work,Urban,,Female,,,,2.2
2013,Percentage,Time spent on unpaid domestic and care work,Care work,Rural areas,,Female,,,,1.5
2022,Percentage,Time spent on unpaid domestic and care work,Care work,Rural areas,,Female,,,,2.1
2013,Percentage,Time spent on unpaid domestic and care work,Care work,,15 years and older,Female,,,,1.7
2022,Percentage,Time spent on unpaid domestic and care work,Care work,,15 years and older,Female,,,,2.3
2013,Percentage,Time spent on unpaid domestic and care work,Care work,,25 to under 45 years,Female,,,,5.0
2022,Percentage,Time spent on unpaid domestic and care work,Care work,,25 to under 45 years,Female,,,,6.4
2013,Percentage,Time spent on unpaid domestic and care work,Care work,,45 to under 55 years,Female,,,,0.9
2022,Percentage,Time spent on unpaid domestic and care work,Care work,,45 to under 55 years,Female,,,,1.7
2022,Percentage,Time spent on unpaid domestic and care work,Care work,,55 to under 65 years,Female,,,,0.3
2013,Percentage,Time spent on unpaid domestic and care work,Care work,Urban,,Male,,,,0.8
2022,Percentage,Time spent on unpaid domestic and care work,Care work,Urban,,Male,,,,1.2
2013,Percentage,Time spent on unpaid domestic and care work,Care work,Rural areas,,Male,,,,0.6
2022,Percentage,Time spent on unpaid domestic and care work,Care work,Rural areas,,Male,,,,1.0
2013,Percentage,Time spent on unpaid domestic and care work,Care work,,15 years and older,Male,,,,0.8
2022,Percentage,Time spent on unpaid domestic and care work,Care work,,15 years and older,Male,,,,1.2
2013,Percentage,Time spent on unpaid domestic and care work,Care work,,25 to under 45 years,Male,,,,1.9
2022,Percentage,Time spent on unpaid domestic and care work,Care work,,25 to under 45 years,Male,,,,2.8
2013,Percentage,Time spent on unpaid domestic and care work,Care work,,45 to under 55 years,Male,,,,0.7
2022,Percentage,Time spent on unpaid domestic and care work,Care work,,45 to under 55 years,Male,,,,1.4
2013,Percentage,Time spent on unpaid domestic and care work,Care work,,55 to under 65 years,Male,,,,0.3
2022,Percentage,Time spent on unpaid domestic and care work,Care work,,55 to under 65 years,Male,,,,0.3
2013,Percentage,Time spent on unpaid domestic and care work,Care work,Urban,15 years and older,,,,,1.3
2022,Percentage,Time spent on unpaid domestic and care work,Care work,Urban,15 years and older,,,,,1.8
2013,Percentage,Time spent on unpaid domestic and care work,Care work,Urban,25 to under 45 years,,,,,3.5
2022,Percentage,Time spent on unpaid domestic and care work,Care work,Urban,25 to under 45 years,,,,,4.7
2013,Percentage,Time spent on unpaid domestic and care work,Care work,Urban,45 to under 55 years,,,,,0.9
2022,Percentage,Time spent on unpaid domestic and care work,Care work,Urban,45 to under 55 years,,,,,1.5
2013,Percentage,Time spent on unpaid domestic and care work,Care work,Rural areas,15 years and older,,,,,1.1
2022,Percentage,Time spent on unpaid domestic and care work,Care work,Rural areas,15 years and older,,,,,1.6
2013,Percentage,Time spent on unpaid domestic and care work,Care work,Rural areas,25 to under 45 years,,,,,3.3
2022,Percentage,Time spent on unpaid domestic and care work,Care work,Rural areas,25 to under 45 years,,,,,4.3
2022,Percentage,Time spent on unpaid domestic and care work,Care work,Rural areas,45 to under 55 years,,,,,1.4
2013,Percentage,Time spent on unpaid domestic and care work,Care work,Urban,15 years and older,Female,,,,1.7
2022,Percentage,Time spent on unpaid domestic and care work,Care work,Urban,15 years and older,Female,,,,2.3
2013,Percentage,Time spent on unpaid domestic and care work,Care work,Urban,25 to under 45 years,Female,,,,5.0
2022,Percentage,Time spent on unpaid domestic and care work,Care work,Urban,25 to under 45 years,Female,,,,6.4
2013,Percentage,Time spent on unpaid domestic and care work,Care work,Rural areas,15 years and older,Female,,,,1.6
2022,Percentage,Time spent on unpaid domestic and care work,Care work,Rural areas,15 years and older,Female,,,,2.2
2013,Percentage,Time spent on unpaid domestic and care work,Care work,Rural areas,25 to under 45 years,Female,,,,5.0
2022,Percentage,Time spent on unpaid domestic and care work,Care work,Rural areas,25 to under 45 years,Female,,,,6.2
2013,Percentage,Time spent on unpaid domestic and care work,Care work,Rural areas,45 to under 55 years,Female,,,,0.6
2022,Percentage,Time spent on unpaid domestic and care work,Care work,Rural areas,45 to under 55 years,Female,,,,1.5
2013,Percentage,Time spent on unpaid domestic and care work,Care work,Urban,15 years and older,Male,,,,0.8
2022,Percentage,Time spent on unpaid domestic and care work,Care work,Urban,15 years and older,Male,,,,1.3
2013,Percentage,Time spent on unpaid domestic and care work,Care work,Urban,25 to under 45 years,Male,,,,2.0
2022,Percentage,Time spent on unpaid domestic and care work,Care work,Urban,25 to under 45 years,Male,,,,2.9
2013,Percentage,Time spent on unpaid domestic and care work,Care work,Urban,45 to under 55 years,Male,,,,0.7
2022,Percentage,Time spent on unpaid domestic and care work,Care work,Urban,45 to under 55 years,Male,,,,1.4
2013,Percentage,Time spent on unpaid domestic and care work,Care work,Rural areas,15 years and older,Male,,,,0.6
2022,Percentage,Time spent on unpaid domestic and care work,Care work,Rural areas,15 years and older,Male,,,,1.1
2013,Percentage,Time spent on unpaid domestic and care work,Care work,Rural areas,25 to under 45 years,Male,,,,1.7
2022,Percentage,Time spent on unpaid domestic and care work,Care work,Rural areas,25 to under 45 years,Male,,,,2.3
2022,Percentage,Time spent on unpaid domestic and care work,Care work,Rural areas,45 to under 55 years,Male,,,,1.2
2013,Houres per day,Time spent on unpaid domestic and care work,,,,,,,,3.0
2022,Houres per day,Time spent on unpaid domestic and care work,,,,,,,,3.0
2013,Houres per day,Time spent on unpaid domestic and care work,,Urban,,,,,,3.0
2022,Houres per day,Time spent on unpaid domestic and care work,,Urban,,,,,,3.0
2013,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,,,,,,3.0
2022,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,,,,,,3.1
2013,Houres per day,Time spent on unpaid domestic and care work,,,15 years and older,,,,,3.1
2022,Houres per day,Time spent on unpaid domestic and care work,,,15 years and older,,,,,3.2
2013,Houres per day,Time spent on unpaid domestic and care work,,,15 to under 25 years,,,,,1.3
2022,Houres per day,Time spent on unpaid domestic and care work,,,15 to under 25 years,,,,,1.4
2013,Houres per day,Time spent on unpaid domestic and care work,,,25 to under 45 years,,,,,3.3
2022,Houres per day,Time spent on unpaid domestic and care work,,,25 to under 45 years,,,,,3.3
2013,Houres per day,Time spent on unpaid domestic and care work,,,45 to under 55 years,,,,,3.1
2022,Houres per day,Time spent on unpaid domestic and care work,,,45 to under 55 years,,,,,3.1
2013,Houres per day,Time spent on unpaid domestic and care work,,,55 to under 65 years,,,,,3.2
2022,Houres per day,Time spent on unpaid domestic and care work,,,55 to under 65 years,,,,,3.2
2013,Houres per day,Time spent on unpaid domestic and care work,,,65 years and older,,,,,3.7
2022,Houres per day,Time spent on unpaid domestic and care work,,,65 years and older,,,,,3.7
2013,Houres per day,Time spent on unpaid domestic and care work,,,,Female,,,,3.6
2022,Houres per day,Time spent on unpaid domestic and care work,,,,Female,,,,3.6
2013,Houres per day,Time spent on unpaid domestic and care work,,,,Male,,,,2.3
2022,Houres per day,Time spent on unpaid domestic and care work,,,,Male,,,,2.4
2013,Houres per day,Time spent on unpaid domestic and care work,,Urban,,Female,,,,3.6
2022,Houres per day,Time spent on unpaid domestic and care work,,Urban,,Female,,,,3.6
2013,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,,Female,,,,3.7
2022,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,,Female,,,,3.7
2013,Houres per day,Time spent on unpaid domestic and care work,,,15 years and older,Female,,,,3.8
2022,Houres per day,Time spent on unpaid domestic and care work,,,15 years and older,Female,,,,3.8
2013,Houres per day,Time spent on unpaid domestic and care work,,,15 to under 25 years,Female,,,,1.6
2022,Houres per day,Time spent on unpaid domestic and care work,,,15 to under 25 years,Female,,,,1.7
2013,Houres per day,Time spent on unpaid domestic and care work,,,25 to under 45 years,Female,,,,4.3
2022,Houres per day,Time spent on unpaid domestic and care work,,,25 to under 45 years,Female,,,,4.2
2013,Houres per day,Time spent on unpaid domestic and care work,,,45 to under 55 years,Female,,,,3.8
2022,Houres per day,Time spent on unpaid domestic and care work,,,45 to under 55 years,Female,,,,3.8
2013,Houres per day,Time spent on unpaid domestic and care work,,,55 to under 65 years,Female,,,,3.8
2022,Houres per day,Time spent on unpaid domestic and care work,,,55 to under 65 years,Female,,,,3.7
2013,Houres per day,Time spent on unpaid domestic and care work,,,65 years and older,Female,,,,4.2
2022,Houres per day,Time spent on unpaid domestic and care work,,,65 years and older,Female,,,,4.0
2013,Houres per day,Time spent on unpaid domestic and care work,,Urban,,Male,,,,2.3
2022,Houres per day,Time spent on unpaid domestic and care work,,Urban,,Male,,,,2.4
2013,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,,Male,,,,2.3
2022,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,,Male,,,,2.5
2013,Houres per day,Time spent on unpaid domestic and care work,,,15 years and older,Male,,,,2.4
2022,Houres per day,Time spent on unpaid domestic and care work,,,15 years and older,Male,,,,2.5
2013,Houres per day,Time spent on unpaid domestic and care work,,,15 to under 25 years,Male,,,,1.0
2022,Houres per day,Time spent on unpaid domestic and care work,,,15 to under 25 years,Male,,,,1.0
2013,Houres per day,Time spent on unpaid domestic and care work,,,25 to under 45 years,Male,,,,2.3
2022,Houres per day,Time spent on unpaid domestic and care work,,,25 to under 45 years,Male,,,,2.4
2013,Houres per day,Time spent on unpaid domestic and care work,,,45 to under 55 years,Male,,,,2.5
2022,Houres per day,Time spent on unpaid domestic and care work,,,45 to under 55 years,Male,,,,2.5
2013,Houres per day,Time spent on unpaid domestic and care work,,,55 to under 65 years,Male,,,,2.6
2022,Houres per day,Time spent on unpaid domestic and care work,,,55 to under 65 years,Male,,,,2.6
2013,Houres per day,Time spent on unpaid domestic and care work,,,65 years and older,Male,,,,3.3
2022,Houres per day,Time spent on unpaid domestic and care work,,,65 years and older,Male,,,,3.3
2013,Houres per day,Time spent on unpaid domestic and care work,,Urban,15 years and older,,,,,3.1
2022,Houres per day,Time spent on unpaid domestic and care work,,Urban,15 years and older,,,,,3.1
2013,Houres per day,Time spent on unpaid domestic and care work,,Urban,15 to under 25 years,,,,,1.3
2022,Houres per day,Time spent on unpaid domestic and care work,,Urban,15 to under 25 years,,,,,1.4
2013,Houres per day,Time spent on unpaid domestic and care work,,Urban,25 to under 45 years,,,,,3.2
2022,Houres per day,Time spent on unpaid domestic and care work,,Urban,25 to under 45 years,,,,,3.3
2013,Houres per day,Time spent on unpaid domestic and care work,,Urban,45 to under 55 years,,,,,3.1
2022,Houres per day,Time spent on unpaid domestic and care work,,Urban,45 to under 55 years,,,,,3.1
2013,Houres per day,Time spent on unpaid domestic and care work,,Urban,55 to under 65 years,,,,,3.2
2022,Houres per day,Time spent on unpaid domestic and care work,,Urban,55 to under 65 years,,,,,3.1
2013,Houres per day,Time spent on unpaid domestic and care work,,Urban,65 years and older,,,,,3.7
2022,Houres per day,Time spent on unpaid domestic and care work,,Urban,65 years and older,,,,,3.6
2013,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,15 years and older,,,,,3.1
2022,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,15 years and older,,,,,3.2
2013,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,15 to under 25 years,,,,,1.3
2022,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,15 to under 25 years,,,,,1.2
2013,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,25 to under 45 years,,,,,3.5
2022,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,25 to under 45 years,,,,,3.3
2013,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,45 to under 55 years,,,,,3.2
2022,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,45 to under 55 years,,,,,3.2
2013,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,55 to under 65 years,,,,,3.3
2022,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,55 to under 65 years,,,,,3.4
2013,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,65 years and older,,,,,3.7
2022,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,65 years and older,,,,,3.9
2013,Houres per day,Time spent on unpaid domestic and care work,,Urban,15 years and older,Female,,,,3.8
2022,Houres per day,Time spent on unpaid domestic and care work,,Urban,15 years and older,Female,,,,3.8
2013,Houres per day,Time spent on unpaid domestic and care work,,Urban,15 to under 25 years,Female,,,,1.6
2022,Houres per day,Time spent on unpaid domestic and care work,,Urban,15 to under 25 years,Female,,,,1.8
2013,Houres per day,Time spent on unpaid domestic and care work,,Urban,25 to under 45 years,Female,,,,4.2
2022,Houres per day,Time spent on unpaid domestic and care work,,Urban,25 to under 45 years,Female,,,,4.2
2013,Houres per day,Time spent on unpaid domestic and care work,,Urban,45 to under 55 years,Female,,,,3.8
2022,Houres per day,Time spent on unpaid domestic and care work,,Urban,45 to under 55 years,Female,,,,3.8
2013,Houres per day,Time spent on unpaid domestic and care work,,Urban,55 to under 65 years,Female,,,,3.9
2022,Houres per day,Time spent on unpaid domestic and care work,,Urban,55 to under 65 years,Female,,,,3.7
2013,Houres per day,Time spent on unpaid domestic and care work,,Urban,65 years and older,Female,,,,4.2
2022,Houres per day,Time spent on unpaid domestic and care work,,Urban,65 years and older,Female,,,,3.9
2013,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,15 years and older,Female,,,,3.8
2022,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,15 years and older,Female,,,,3.8
2013,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,15 to under 25 years,Female,,,,1.6
2022,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,15 to under 25 years,Female,,,,1.5
2013,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,25 to under 45 years,Female,,,,4.6
2022,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,25 to under 45 years,Female,,,,4.2
2013,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,45 to under 55 years,Female,,,,3.9
2022,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,45 to under 55 years,Female,,,,3.8
2013,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,55 to under 65 years,Female,,,,3.7
2022,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,55 to under 65 years,Female,,,,3.8
2013,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,65 years and older,Female,,,,4.2
2022,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,65 years and older,Female,,,,4.2
2013,Houres per day,Time spent on unpaid domestic and care work,,Urban,15 years and older,Male,,,,2.4
2022,Houres per day,Time spent on unpaid domestic and care work,,Urban,15 years and older,Male,,,,2.5
2013,Houres per day,Time spent on unpaid domestic and care work,,Urban,15 to under 25 years,Male,,,,1.0
2022,Houres per day,Time spent on unpaid domestic and care work,,Urban,15 to under 25 years,Male,,,,1.1
2013,Houres per day,Time spent on unpaid domestic and care work,,Urban,25 to under 45 years,Male,,,,2.3
2022,Houres per day,Time spent on unpaid domestic and care work,,Urban,25 to under 45 years,Male,,,,2.4
2013,Houres per day,Time spent on unpaid domestic and care work,,Urban,45 to under 55 years,Male,,,,2.4
2022,Houres per day,Time spent on unpaid domestic and care work,,Urban,45 to under 55 years,Male,,,,2.5
2013,Houres per day,Time spent on unpaid domestic and care work,,Urban,55 to under 65 years,Male,,,,2.6
2022,Houres per day,Time spent on unpaid domestic and care work,,Urban,55 to under 65 years,Male,,,,2.6
2013,Houres per day,Time spent on unpaid domestic and care work,,Urban,65 years and older,Male,,,,3.3
2022,Houres per day,Time spent on unpaid domestic and care work,,Urban,65 years and older,Male,,,,3.3
2013,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,15 years and older,Male,,,,2.4
2022,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,15 years and older,Male,,,,2.6
2013,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,15 to under 25 years,Male,,,,1.0
2022,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,15 to under 25 years,Male,,,,0.9
2013,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,25 to under 45 years,Male,,,,2.3
2022,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,25 to under 45 years,Male,,,,2.4
2013,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,45 to under 55 years,Male,,,,2.5
2022,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,45 to under 55 years,Male,,,,2.7
2013,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,55 to under 65 years,Male,,,,2.9
2022,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,55 to under 65 years,Male,,,,2.9
2013,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,65 years and older,Male,,,,3.2
2022,Houres per day,Time spent on unpaid domestic and care work,,Rural areas,65 years and older,Male,,,,3.6
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,,,,,,2.7
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,,,,,,2.6
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,,,,,,2.7
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,,,,,,2.6
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,,,,,,2.8
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,,,,,,2.7
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,15 years and older,,,,,2.8
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,15 years and older,,,,,2.7
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,15 to under 25 years,,,,,1.3
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,15 to under 25 years,,,,,1.3
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,25 to under 45 years,,,,,2.5
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,25 to under 45 years,,,,,2.2
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,45 to under 55 years,,,,,2.9
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,45 to under 55 years,,,,,2.8
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,55 to under 65 years,,,,,3.2
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,55 to under 65 years,,,,,3.1
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,65 years and older,,,,,3.7
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,65 years and older,,,,,3.6
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,,Female,,,,3.3
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,,Female,,,,3.1
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,,Male,,,,2.1
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,,Male,,,,2.2
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,,Female,,,,3.2
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,,Female,,,,3.1
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,,Female,,,,3.3
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,,Female,,,,3.2
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,15 years and older,Female,,,,3.4
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,15 years and older,Female,,,,3.2
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,15 to under 25 years,Female,,,,1.5
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,15 to under 25 years,Female,,,,1.6
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,25 to under 45 years,Female,,,,3.1
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,25 to under 45 years,Female,,,,2.7
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,45 to under 55 years,Female,,,,3.6
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,45 to under 55 years,Female,,,,3.4
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,55 to under 65 years,Female,,,,3.8
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,55 to under 65 years,Female,,,,3.6
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,65 years and older,Female,,,,4.2
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,65 years and older,Female,,,,4.0
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,,Male,,,,2.1
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,,Male,,,,2.1
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,,Male,,,,2.2
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,,Male,,,,2.2
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,15 years and older,Male,,,,2.2
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,15 years and older,Male,,,,2.2
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,15 to under 25 years,Male,,,,1.0
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,15 to under 25 years,Male,,,,1.0
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,25 to under 45 years,Male,,,,1.8
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,25 to under 45 years,Male,,,,1.8
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,45 to under 55 years,Male,,,,2.3
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,45 to under 55 years,Male,,,,2.2
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,55 to under 65 years,Male,,,,2.6
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,55 to under 65 years,Male,,,,2.6
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,65 years and older,Male,,,,3.2
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,,65 years and older,Male,,,,3.3
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,15 years and older,,,,,2.8
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,15 years and older,,,,,2.7
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,15 to under 25 years,,,,,1.3
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,15 to under 25 years,,,,,1.3
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,25 to under 45 years,,,,,2.4
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,25 to under 45 years,,,,,2.2
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,45 to under 55 years,,,,,2.9
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,45 to under 55 years,,,,,2.7
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,55 to under 65 years,,,,,3.2
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,55 to under 65 years,,,,,3.1
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,65 years and older,,,,,3.7
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,65 years and older,,,,,3.6
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,15 years and older,,,,,2.9
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,15 years and older,,,,,2.8
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,15 to under 25 years,,,,,1.2
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,15 to under 25 years,,,,,1.2
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,25 to under 45 years,,,,,2.7
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,25 to under 45 years,,,,,2.3
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,45 to under 55 years,,,,,3.0
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,45 to under 55 years,,,,,2.9
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,55 to under 65 years,,,,,3.2
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,55 to under 65 years,,,,,3.3
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,65 years and older,,,,,3.7
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,65 years and older,,,,,3.8
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,15 years and older,Female,,,,3.3
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,15 years and older,Female,,,,3.2
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,15 to under 25 years,Female,,,,1.6
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,15 to under 25 years,Female,,,,1.7
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,25 to under 45 years,Female,,,,3.0
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,25 to under 45 years,Female,,,,2.7
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,45 to under 55 years,Female,,,,3.5
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,45 to under 55 years,Female,,,,3.4
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,55 to under 65 years,Female,,,,3.8
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,55 to under 65 years,Female,,,,3.6
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,65 years and older,Female,,,,4.2
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Urban,65 years and older,Female,,,,3.9
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,15 years and older,Female,,,,3.5
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,15 years and older,Female,,,,3.3
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,15 to under 25 years,Female,,,,1.4
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,15 to under 25 years,Female,,,,1.4
2013,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,25 to under 45 years,Female,,,,3.4
2022,Houres per day,Time spent on unpaid domestic and care work,Domestic work,Rural areas,25 to under 45 years,Female,,,,2.7
