Year,Units,Series,Type of unpaid work,Degree of urbanisation,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2022,Percentage,Time spent on unpaid domestic and care work,,,65 years and older,Female,,,,16.7
2013,Percentage,Time spent on unpaid domestic and care work,,Urban,,Male,,,,9.6
2022,Percentage,Time spent on unpaid domestic and care work,,Urban,,Male,,,,10.1
2013,Percentage,Time spent on unpaid domestic and care work,,Rural areas,,Male,,,,9.8
2022,Percentage,Time spent on unpaid domestic and care work,,Rural areas,,Male,,,,10.3
2013,Percentage,Time spent on unpaid domestic and care work,,,15 years and older,Male,,,,9.9
2022,Percentage,Time spent on unpaid domestic and care work,,,15 years and older,Male,,,,10.5
2013,Percentage,Time spent on unpaid domestic and care work,,,15 to under 25 years,Male,,,,4.1
2022,Percentage,Time spent on unpaid domestic and care work,,,15 to under 25 years,Male,,,,4.3
2013,Percentage,Time spent on unpaid domestic and care work,,,25 to under 45 years,Male,,,,9.5
2022,Percentage,Time spent on unpaid domestic and care work,,,25 to under 45 years,Male,,,,10.1
2013,Percentage,Time spent on unpaid domestic and care work,,,45 to under 55 years,Male,,,,10.2
2022,Percentage,Time spent on unpaid domestic and care work,,,45 to under 55 years,Male,,,,10.4
2013,Percentage,Time spent on unpaid domestic and care work,,,55 to under 65 years,Male,,,,10.9
2022,Percentage,Time spent on unpaid domestic and care work,,,55 to under 65 years,Male,,,,10.9
2013,Percentage,Time spent on unpaid domestic and care work,,,65 years and older,Male,,,,13.6
2022,Percentage,Time spent on unpaid domestic and care work,,,65 years and older,Male,,,,13.9
2013,Percentage,Time spent on unpaid domestic and care work,,Urban,15 years and older,,,,,12.8
2022,Percentage,Time spent on unpaid domestic and care work,,Urban,15 years and older,,,,,13.1
2013,Percentage,Time spent on unpaid domestic and care work,,Urban,15 to under 25 years,,,,,5.5
2022,Percentage,Time spent on unpaid domestic and care work,,Urban,15 to under 25 years,,,,,5.9
2013,Percentage,Time spent on unpaid domestic and care work,,Urban,25 to under 45 years,,,,,13.4
2022,Percentage,Time spent on unpaid domestic and care work,,Urban,25 to under 45 years,,,,,13.9
2013,Percentage,Time spent on unpaid domestic and care work,,Urban,45 to under 55 years,,,,,12.9
2022,Percentage,Time spent on unpaid domestic and care work,,Urban,45 to under 55 years,,,,,12.9
2013,Percentage,Time spent on unpaid domestic and care work,,Urban,55 to under 65 years,,,,,13.4
2022,Percentage,Time spent on unpaid domestic and care work,,Urban,55 to under 65 years,,,,,13.0
2013,Percentage,Time spent on unpaid domestic and care work,,Urban,65 years and older,,,,,15.6
2022,Percentage,Time spent on unpaid domestic and care work,,Urban,65 years and older,,,,,15.0
2013,Percentage,Time spent on unpaid domestic and care work,,Rural areas,15 years and older,,,,,13.0
2022,Percentage,Time spent on unpaid domestic and care work,,Rural areas,15 years and older,,,,,13.4
2013,Percentage,Time spent on unpaid domestic and care work,,Rural areas,15 to under 25 years,,,,,5.4
2022,Percentage,Time spent on unpaid domestic and care work,,Rural areas,15 to under 25 years,,,,,5.0
2013,Percentage,Time spent on unpaid domestic and care work,,Rural areas,25 to under 45 years,,,,,14.5
2022,Percentage,Time spent on unpaid domestic and care work,,Rural areas,25 to under 45 years,,,,,13.7
