Year,Units,Series,Art der unbezahlten Arbeit,Verstädterungsgrad,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2019,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,15 bis unter 75 Jahre,Männlich,,,,6.0
2020,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,15 bis unter 75 Jahre,Männlich,|,,,7.9
2021,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,15 bis unter 75 Jahre,Männlich,,,,7.5
2022,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,15 bis unter 75 Jahre,Männlich,,,,6.6
2023,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,15 bis unter 75 Jahre,Männlich,,,,6.5
2024,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,15 bis unter 75 Jahre,Männlich,,,,7.0
2025,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,15 bis unter 75 Jahre,Männlich,,,,7.6
2010,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,,|,,,12.2
2011,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,,|,,,10.7
2012,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,,,,,9.9
2013,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,,,,,9.8
2014,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,,,,,9.3
2015,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,,,,,8.8
2016,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,,,,,8.1
2017,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,,,,,7.6
2018,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,,,,,6.9
2019,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,,,,,6.4
2020,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,,|,,,8.1
2021,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,,,,,7.5
2022,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,,,,,6.5
2023,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,,,,,6.5
2024,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,,,,,6.8
2025,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,,,,,7.4
2010,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Weiblich,|,,,14.1
2011,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Weiblich,|,,,12.4
2012,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Weiblich,,,,11.6
2013,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Weiblich,,,,11.2
2014,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Weiblich,,,,10.5
2015,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Weiblich,,,,9.8
2016,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Weiblich,,,,9.0
2017,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Weiblich,,,,8.3
2018,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Weiblich,,,,7.3
2019,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Weiblich,,,,6.8
2020,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Weiblich,|,,,8.6
2021,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Weiblich,,,,8.0
2022,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Weiblich,,,,7.0
2023,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Weiblich,,,,7.0
2024,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Weiblich,,,,7.2
2025,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Weiblich,,,,7.8
2010,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Männlich,|,,,10.5
2011,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Männlich,|,,,9.1
2012,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Männlich,,,,8.5
2013,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Männlich,,,,8.5
2014,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Männlich,,,,8.2
2015,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Männlich,,,,7.9
2016,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Männlich,,,,7.4
2017,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Männlich,,,,7.0
2018,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Männlich,,,,6.5
2019,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Männlich,,,,6.0
2020,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Männlich,|,,,7.6
2021,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Männlich,,,,7.1
2022,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Männlich,,,,6.1
2023,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Männlich,,,,6.1
2024,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Männlich,,,,6.4
2025,Prozent,Quote der Unterauslastung der Arbeitskräfte,,,20 bis unter 65 Jahre,Männlich,,,,7.0
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,,,,,,12.4
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,,,,,,12.6
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,,,,,,12.3
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,,,,,,12.6
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,,,,,,12.6
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,,,,,,12.9
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,15 Jahre und älter,,,,,12.8
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,15 Jahre und älter,,,,,13.1
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,15 bis unter 25 Jahre,,,,,5.4
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,15 bis unter 25 Jahre,,,,,5.7
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,25 bis unter 45 Jahre,,,,,13.6
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,25 bis unter 45 Jahre,,,,,13.9
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,45 bis unter 55 Jahre,,,,,13.0
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,45 bis unter 55 Jahre,,,,,13.0
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,55 bis unter 65 Jahre,,,,,13.5
