Year,Units,Series,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,years,healthy life expectancy at birth,,,,58,3.0
2011,years,healthy life expectancy at birth,,,,58,2.0
2012,years,healthy life expectancy at birth,,,,57,6.0
2013,years,healthy life expectancy at birth,,,,57,4.0
2014,years,healthy life expectancy at birth,,,,56,5.0
2015,years,healthy life expectancy at birth,,|,,66,4.0
2016,years,healthy life expectancy at birth,,,,66,4.0
2017,years,healthy life expectancy at birth,,,,66,
2018,years,healthy life expectancy at birth,,,,65,8.0
2019,years,healthy life expectancy at birth,,,,66,3.0
2020,years,healthy life expectancy at birth,,|,,65,7.0
2021,years,healthy life expectancy at birth,,,,65,6.0
2022,years,healthy life expectancy at birth,,|,,61,1.0
2023,years,healthy life expectancy at birth,,|,,62,5.0
2024,years,healthy life expectancy at birth,,,,62,4.0
2010,years,healthy life expectancy at birth,female,,,58,7.0
2011,years,healthy life expectancy at birth,female,,,58,6.0
2012,years,healthy life expectancy at birth,female,,,57,9.0
2013,years,healthy life expectancy at birth,female,,,57,
2014,years,healthy life expectancy at birth,female,,,56,5.0
2015,years,healthy life expectancy at birth,female,|,,67,5.0
2016,years,healthy life expectancy at birth,female,,,67,3.0
2017,years,healthy life expectancy at birth,female,,,66,7.0
2018,years,healthy life expectancy at birth,female,,,66,3.0
2019,years,healthy life expectancy at birth,female,,,67,1.0
2020,years,healthy life expectancy at birth,female,|,,66,8.0
2021,years,healthy life expectancy at birth,female,,,66,5.0
2022,years,healthy life expectancy at birth,female,|,,61,2.0
2023,years,healthy life expectancy at birth,female,|,,63,
2024,years,healthy life expectancy at birth,female,,,62,6.0
2010,years,healthy life expectancy at birth,male,,,57,9.0
2011,years,healthy life expectancy at birth,male,,,57,8.0
2012,years,healthy life expectancy at birth,male,,,57,3.0
2013,years,healthy life expectancy at birth,male,,,57,7.0
2014,years,healthy life expectancy at birth,male,,,56,4.0
2015,years,healthy life expectancy at birth,male,|,,65,3.0
2016,years,healthy life expectancy at birth,male,,,65,3.0
2017,years,healthy life expectancy at birth,male,,,65,1.0
2018,years,healthy life expectancy at birth,male,,,65,1.0
2019,years,healthy life expectancy at birth,male,,,65,4.0
2020,years,healthy life expectancy at birth,male,|,,64,7.0
2021,years,healthy life expectancy at birth,male,,,64,7.0
2022,years,healthy life expectancy at birth,male,|,,60,9.0
2023,years,healthy life expectancy at birth,male,|,,62,1.0
2024,years,healthy life expectancy at birth,male,,,62,1.0
2010,percentage,low-birthweight babies (percentage of births),,,,6,9.0
2011,percentage,low-birthweight babies (percentage of births),,,,6,9.0
2012,percentage,low-birthweight babies (percentage of births),,,,6,9.0
2013,percentage,low-birthweight babies (percentage of births),,,,6,6.0
