Year,Units,Series,type of unpaid work,degree of urbanisation,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2013,percentage,time spent on unpaid domestic and care work,domestic work,urban,15 years and older,female,,,,13.9
2022,percentage,time spent on unpaid domestic and care work,domestic work,urban,15 years and older,female,,,,13.3
2013,percentage,time spent on unpaid domestic and care work,domestic work,urban,15 to under 25 years,female,,,,6.5
2022,percentage,time spent on unpaid domestic and care work,domestic work,urban,15 to under 25 years,female,,,,6.9
2013,percentage,time spent on unpaid domestic and care work,domestic work,urban,25 to under 45 years,female,,,,12.5
2022,percentage,time spent on unpaid domestic and care work,domestic work,urban,25 to under 45 years,female,,,,11.3
2013,percentage,time spent on unpaid domestic and care work,domestic work,urban,45 to under 55 years,female,,,,14.8
2022,percentage,time spent on unpaid domestic and care work,domestic work,urban,45 to under 55 years,female,,,,13.9
2013,percentage,time spent on unpaid domestic and care work,domestic work,urban,55 to under 65 years,female,,,,15.9
2022,percentage,time spent on unpaid domestic and care work,domestic work,urban,55 to under 65 years,female,,,,15.1
2013,percentage,time spent on unpaid domestic and care work,domestic work,urban,65 years and older,female,,,,17.3
2022,percentage,time spent on unpaid domestic and care work,domestic work,urban,65 years and older,female,,,,16.3
2013,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,15 years and older,female,,,,14.4
2022,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,15 years and older,female,,,,13.7
2013,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,15 to under 25 years,female,,,,5.9
2022,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,15 to under 25 years,female,,,,6.0
2013,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,25 to under 45 years,female,,,,14.4
2022,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,25 to under 45 years,female,,,,11.2
2013,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,45 to under 55 years,female,,,,15.5
2022,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,45 to under 55 years,female,,,,14.3
2013,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,55 to under 65 years,female,,,,15.2
2022,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,55 to under 65 years,female,,,,15.4
2013,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,65 years and older,female,,,,17.4
2022,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,65 years and older,female,,,,17.3
2013,percentage,time spent on unpaid domestic and care work,domestic work,urban,15 years and older,male,,,,9.1
2022,percentage,time spent on unpaid domestic and care work,domestic work,urban,15 years and older,male,,,,9.2
2013,percentage,time spent on unpaid domestic and care work,domestic work,urban,15 to under 25 years,male,,,,4.0
2022,percentage,time spent on unpaid domestic and care work,domestic work,urban,15 to under 25 years,male,,,,4.3
2013,percentage,time spent on unpaid domestic and care work,domestic work,urban,25 to under 45 years,male,,,,7.4
2022,percentage,time spent on unpaid domestic and care work,domestic work,urban,25 to under 45 years,male,,,,7.2
2013,percentage,time spent on unpaid domestic and care work,domestic work,urban,45 to under 55 years,male,,,,9.4
2022,percentage,time spent on unpaid domestic and care work,domestic work,urban,45 to under 55 years,male,,,,8.8
2013,percentage,time spent on unpaid domestic and care work,domestic work,urban,55 to under 65 years,male,,,,10.4
2022,percentage,time spent on unpaid domestic and care work,domestic work,urban,55 to under 65 years,male,,,,10.4
2013,percentage,time spent on unpaid domestic and care work,domestic work,urban,65 years and older,male,,,,13.5
2022,percentage,time spent on unpaid domestic and care work,domestic work,urban,65 years and older,male,,,,13.5
2013,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,15 years and older,male,,,,9.4
2022,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,15 years and older,male,,,,9.7
2013,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,15 to under 25 years,male,,,,4.3
2022,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,15 to under 25 years,male,,,,3.8
2013,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,25 to under 45 years,male,,,,8.1
2022,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,25 to under 45 years,male,,,,7.6
2013,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,45 to under 55 years,male,,,,9.7
2022,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,45 to under 55 years,male,,,,9.8
2013,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,55 to under 65 years,male,,,,11.7
2022,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,55 to under 65 years,male,,,,11.8
2013,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,65 years and older,male,,,,13.1
2022,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,65 years and older,male,,,,14.8
2013,percentage,time spent on unpaid domestic and care work,care work,,,,,,,1.2
2022,percentage,time spent on unpaid domestic and care work,care work,,,,,,,1.7
2013,percentage,time spent on unpaid domestic and care work,care work,urban,,,,,,1.2
2022,percentage,time spent on unpaid domestic and care work,care work,urban,,,,,,1.7
2013,percentage,time spent on unpaid domestic and care work,care work,rural areas,,,,,,1.1
2022,percentage,time spent on unpaid domestic and care work,care work,rural areas,,,,,,1.6
2013,percentage,time spent on unpaid domestic and care work,care work,,15 years and older,,,,,1.3
2022,percentage,time spent on unpaid domestic and care work,care work,,15 years and older,,,,,1.8
