Year,Units,Series,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Years,Healthy life expectancy at,,,,,58.3
2011,Years,Healthy life expectancy at,,,,,58.2
2012,Years,Healthy life expectancy at,,,,,57.6
2013,Years,Healthy life expectancy at,,,,,57.4
2014,Years,Healthy life expectancy at,,,,,56.5
2015,Years,Healthy life expectancy at,,|,,,66.4
2016,Years,Healthy life expectancy at,,,,,66.4
2017,Years,Healthy life expectancy at,,,,,66.0
2018,Years,Healthy life expectancy at,,,,,65.8
2019,Years,Healthy life expectancy at,,,,,66.3
2020,Years,Healthy life expectancy at,,|,,,65.7
2021,Years,Healthy life expectancy at,,,,,65.6
2022,Years,Healthy life expectancy at,,|,,,61.1
2023,Years,Healthy life expectancy at,,|,,,62.5
2024,Years,Healthy life expectancy at,,,,,62.4
2010,Years,Healthy life expectancy at,Female,,,,58.7
2011,Years,Healthy life expectancy at,Female,,,,58.6
2012,Years,Healthy life expectancy at,Female,,,,57.9
2013,Years,Healthy life expectancy at,Female,,,,57.0
2014,Years,Healthy life expectancy at,Female,,,,56.5
2015,Years,Healthy life expectancy at,Female,|,,,67.5
2016,Years,Healthy life expectancy at,Female,,,,67.3
2017,Years,Healthy life expectancy at,Female,,,,66.7
2018,Years,Healthy life expectancy at,Female,,,,66.3
2019,Years,Healthy life expectancy at,Female,,,,67.1
2020,Years,Healthy life expectancy at,Female,|,,,66.8
2021,Years,Healthy life expectancy at,Female,,,,66.5
2022,Years,Healthy life expectancy at,Female,|,,,61.2
2023,Years,Healthy life expectancy at,Female,|,,,63.0
2024,Years,Healthy life expectancy at,Female,,,,62.6
2010,Years,Healthy life expectancy at,Male,,,,57.9
2011,Years,Healthy life expectancy at,Male,,,,57.8
2012,Years,Healthy life expectancy at,Male,,,,57.3
2013,Years,Healthy life expectancy at,Male,,,,57.7
2014,Years,Healthy life expectancy at,Male,,,,56.4
2015,Years,Healthy life expectancy at,Male,|,,,65.3
2016,Years,Healthy life expectancy at,Male,,,,65.3
2017,Years,Healthy life expectancy at,Male,,,,65.1
2018,Years,Healthy life expectancy at,Male,,,,65.1
2019,Years,Healthy life expectancy at,Male,,,,65.4
2020,Years,Healthy life expectancy at,Male,|,,,64.7
2021,Years,Healthy life expectancy at,Male,,,,64.7
2022,Years,Healthy life expectancy at,Male,|,,,60.9
2023,Years,Healthy life expectancy at,Male,|,,,62.1
2024,Years,Healthy life expectancy at,Male,,,,62.1
2010,Percentage,Low-birthweight babies,,,,,6.9
2011,Percentage,Low-birthweight babies,,,,,6.9
2012,Percentage,Low-birthweight babies,,,,,6.9
2013,Percentage,Low-birthweight babies,,,,,6.6
