Year,Educational level,Type of ICT skill,Subject,Age group,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2021,,Writing code in a programming language,,16 to under 25 years,|,,,Population with computer-related activities,10.1
2022,,Writing code in a programming language,,16 to under 25 years,.,,,Population with computer-related activities,
2023,,Writing code in a programming language,,16 to under 25 years,,,,Population with computer-related activities,9.5
2024,,Writing code in a programming language,,16 to under 25 years,.,,,Population with computer-related activities,
2025,,Writing code in a programming language,,16 to under 25 years,,,,Population with computer-related activities,9.6
2011,,"Connecting and installing new devices, eg a printer or a modem",,16 to under 25 years,,,,Population with computer-related activities,62.0
2012,,"Connecting and installing new devices, eg a printer or a modem",,16 to under 25 years,,,,Population with computer-related activities,57.0
2014,,"Connecting and installing new devices, eg a printer or a modem",,16 to under 25 years,,,,Population with computer-related activities,62.0
2010,,Transferring files between computer and other devices,,16 to under 25 years,.,,,Population with computer-related activities,
2011,,Transferring files between computer and other devices,,16 to under 25 years,,,,Population with computer-related activities,92.0
2012,,Transferring files between computer and other devices,,16 to under 25 years,,,,Population with computer-related activities,88.0
2013,,Transferring files between computer and other devices,,16 to under 25 years,.,,,Population with computer-related activities,
2014,,Transferring files between computer and other devices,,16 to under 25 years,,,,Population with computer-related activities,91.0
2015,,Transferring files between computer and other devices,,16 to under 25 years,,,,Population with computer-related activities,86.0
2016,,Transferring files between computer and other devices,,16 to under 25 years,,,,Population with computer-related activities,85.0
2017,,Transferring files between computer and other devices,,16 to under 25 years,,,,Population with computer-related activities,83.0
2018,,Transferring files between computer and other devices,,16 to under 25 years,.,,,Population with computer-related activities,
2019,,Transferring files between computer and other devices,,16 to under 25 years,,,,Population with computer-related activities,80.0
2020,,Transferring files between computer and other devices,,16 to under 25 years,.,,,Population with computer-related activities,
2021,,Transferring files between computer and other devices,,16 to under 25 years,|,,,Population with computer-related activities,68.2
2022,,Transferring files between computer and other devices,,16 to under 25 years,.,,,Population with computer-related activities,
2023,,Transferring files between computer and other devices,,16 to under 25 years,,,,Population with computer-related activities,72.0
2024,,Transferring files between computer and other devices,,16 to under 25 years,.,,,Population with computer-related activities,
2025,,Transferring files between computer and other devices,,16 to under 25 years,,,,Population with computer-related activities,67.4
2010,,Installing software or apps,,16 to under 25 years,.,,,Population with computer-related activities,
2011,,Installing software or apps,,16 to under 25 years,.,,,Population with computer-related activities,
2012,,Installing software or apps,,16 to under 25 years,.,,,Population with computer-related activities,
2013,,Installing software or apps,,16 to under 25 years,.,,,Population with computer-related activities,
2014,,Installing software or apps,,16 to under 25 years,.,,,Population with computer-related activities,
2015,,Installing software or apps,,16 to under 25 years,,,,Population with computer-related activities,87.0
2016,,Installing software or apps,,16 to under 25 years,,,,Population with computer-related activities,89.0
2017,,Installing software or apps,,16 to under 25 years,,,,Population with computer-related activities,86.0
2018,,Installing software or apps,,16 to under 25 years,.,,,Population with computer-related activities,
2019,,Installing software or apps,,16 to under 25 years,,,,Population with computer-related activities,88.0
2020,,Installing software or apps,,16 to under 25 years,.,,,Population with computer-related activities,
2021,,Installing software or apps,,16 to under 25 years,|,,,Population with computer-related activities,58.5
