Year,Series,Units,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2011,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,,,,,2550722.0
2012,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,,,,,2469145.0
2013,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,,,,,2485111.0
2014,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,,,,,2414512.0
2015,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,,,,,2496291.0
2016,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,,,,,2493926.0
2017,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,,,,,2422408.0
2018,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,,,,,2452046.0
2019,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,,,,,2377659.0
2020,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,,,,,2381255.0
2021,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,,,,,2476588.0
2022,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,,,,,2460607.0
2023,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,,,,,2378755.0
2024,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,,,,,2319712.0
2010,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Female,,,,903281.0
2011,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Female,,,,901731.0
2012,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Female,,,,868456.0
2013,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Female,,,,885470.0
2014,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Female,,,,853552.0
2015,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Female,,,,886614.0
2016,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Female,,,,887473.0
2017,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Female,,,,870479.0
2018,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Female,,,,879438.0
2019,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Female,,,,850887.0
2020,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Female,,,,843317.0
2021,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Female,,,,870941.0
2022,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Female,,,,880286.0
2023,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Female,,,,849662.0
2024,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Female,,,,838211.0
2010,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Male,,,,1690193.0
2011,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Male,,,,1648991.0
2012,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Male,,,,1600689.0
2013,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Male,,,,1599641.0
2014,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Male,,,,1560960.0
2015,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Male,,,,1609677.0
2016,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Male,,,,1606314.0
2017,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Male,,,,1551551.0
2018,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Male,,,,1572608.0
2019,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Male,,,,1526773.0
2020,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Male,,,,1537939.0
2021,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Male,,,,1605647.0
2022,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Male,,,,1580321.0
2023,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Male,,,,1529094.0
2024,"Potential years of life lost (PYLL), all causes",Number,70 years and younger,Male,,,,1481501.0
2010,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,,,,,2695.0
2011,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,,,,,2689.0
2012,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,,,,,2570.0
2013,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,,,,,2565.0
2014,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,,,,,2472.0
2015,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,,,,,2525.0
2016,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,,,,,2494.0
2017,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,,,,,2393.0
2018,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,,,,,2410.0
2019,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,,,,,2334.0
2020,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,,,,,2330.0
2021,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,,,,,2417.0
2022,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,,,,,2437.0
2023,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,,,,,2358.0
2024,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,,,,,2322.0
2010,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Female,,,,1916.0
2011,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Female,,,,1927.0
2012,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Female,,,,1835.0
2013,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Female,,,,1859.0
2014,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Female,,,,1776.0
2015,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Female,,,,1829.0
2016,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",65 years and younger,Female,,,,1808.0
