Year,Units,Series,type of unpaid work,degree of urbanisation,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2022,percentage,time spent on unpaid domestic and care work,,urban,15 to under 25 years,male,,,,4.4
2013,percentage,time spent on unpaid domestic and care work,,urban,25 to under 45 years,male,,,,9.4
2022,percentage,time spent on unpaid domestic and care work,,urban,25 to under 45 years,male,,,,10.2
2013,percentage,time spent on unpaid domestic and care work,,urban,45 to under 55 years,male,,,,10.2
2022,percentage,time spent on unpaid domestic and care work,,urban,45 to under 55 years,male,,,,10.2
2013,percentage,time spent on unpaid domestic and care work,,urban,55 to under 65 years,male,,,,10.7
2022,percentage,time spent on unpaid domestic and care work,,urban,55 to under 65 years,male,,,,10.6
2013,percentage,time spent on unpaid domestic and care work,,urban,65 years and older,male,,,,13.7
2022,percentage,time spent on unpaid domestic and care work,,urban,65 years and older,male,,,,13.7
2013,percentage,time spent on unpaid domestic and care work,,rural areas,15 years and older,male,,,,10.1
2022,percentage,time spent on unpaid domestic and care work,,rural areas,15 years and older,male,,,,10.8
2013,percentage,time spent on unpaid domestic and care work,,rural areas,15 to under 25 years,male,,,,4.3
2022,percentage,time spent on unpaid domestic and care work,,rural areas,15 to under 25 years,male,,,,3.8
2013,percentage,time spent on unpaid domestic and care work,,rural areas,25 to under 45 years,male,,,,9.8
2022,percentage,time spent on unpaid domestic and care work,,rural areas,25 to under 45 years,male,,,,9.9
2013,percentage,time spent on unpaid domestic and care work,,rural areas,45 to under 55 years,male,,,,10.2
2022,percentage,time spent on unpaid domestic and care work,,rural areas,45 to under 55 years,male,,,,11.0
2013,percentage,time spent on unpaid domestic and care work,,rural areas,55 to under 65 years,male,,,,11.9
2022,percentage,time spent on unpaid domestic and care work,,rural areas,55 to under 65 years,male,,,,12.2
2013,percentage,time spent on unpaid domestic and care work,,rural areas,65 years and older,male,,,,13.2
2022,percentage,time spent on unpaid domestic and care work,,rural areas,65 years and older,male,,,,14.9
2013,percentage,time spent on unpaid domestic and care work,domestic work,,,,,,,11.2
2022,percentage,time spent on unpaid domestic and care work,domestic work,,,,,,,10.9
2013,percentage,time spent on unpaid domestic and care work,domestic work,urban,,,,,,11.1
2022,percentage,time spent on unpaid domestic and care work,domestic work,urban,,,,,,10.9
2013,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,,,,,,11.5
2022,percentage,time spent on unpaid domestic and care work,domestic work,rural areas,,,,,,11.3
2013,percentage,time spent on unpaid domestic and care work,domestic work,,15 years and older,,,,,11.6
2022,percentage,time spent on unpaid domestic and care work,domestic work,,15 years and older,,,,,11.3
2013,percentage,time spent on unpaid domestic and care work,domestic work,,15 to under 25 years,,,,,5.2
2022,percentage,time spent on unpaid domestic and care work,domestic work,,15 to under 25 years,,,,,5.4
2013,percentage,time spent on unpaid domestic and care work,domestic work,,25 to under 45 years,,,,,10.2
2022,percentage,time spent on unpaid domestic and care work,domestic work,,25 to under 45 years,,,,,9.3
2013,percentage,time spent on unpaid domestic and care work,domestic work,,45 to under 55 years,,,,,12.2
2022,percentage,time spent on unpaid domestic and care work,domestic work,,45 to under 55 years,,,,,11.5
2013,percentage,time spent on unpaid domestic and care work,domestic work,,55 to under 65 years,,,,,13.2
2022,percentage,time spent on unpaid domestic and care work,domestic work,,55 to under 65 years,,,,,12.9
2013,percentage,time spent on unpaid domestic and care work,domestic work,,65 years and older,,,,,15.4
2022,percentage,time spent on unpaid domestic and care work,domestic work,,65 years and older,,,,,15.1
