Year,Value,Units,Series
2010,99.3,Percentage,Population connected to the public water supply system
2013,99.3,Percentage,Population connected to the public water supply system
2016,99.4,Percentage,Population connected to the public water supply system
2019,99.4,Percentage,Population connected to the public water supply system
2022,99.5,Percentage,Population connected to the public water supply system
