Year,Value,Units,Series
2010,,,Household disposable income per capita
2011,,,Household disposable income per capita
2012,,,Household disposable income per capita
2013,,,Household disposable income per capita
2014,,,Household disposable income per capita
2015,,,Household disposable income per capita
2016,,,Household disposable income per capita
2017,,,Household disposable income per capita
2018,,,Household disposable income per capita
2019,,,Household disposable income per capita
2020,,,Household disposable income per capita
2021,,,Household disposable income per capita
2022,,,Household disposable income per capita
2023,,,Household disposable income per capita
2024,,,Household disposable income per capita
2025,,,Household disposable income per capita
2010,,,Composite rate of labour underutilization
2011,,,Composite rate of labour underutilization
2012,,,Composite rate of labour underutilization
2013,,,Composite rate of labour underutilization
2014,,,Composite rate of labour underutilization
2015,,,Composite rate of labour underutilization
2016,,,Composite rate of labour underutilization
2017,,,Composite rate of labour underutilization
2018,,,Composite rate of labour underutilization
2019,,,Composite rate of labour underutilization
2020,,,Composite rate of labour underutilization
2021,,,Composite rate of labour underutilization
2022,,,Composite rate of labour underutilization
2023,,,Composite rate of labour underutilization
2024,,,Composite rate of labour underutilization
2025,,,Composite rate of labour underutilization
