Year,Value,Units,Series
2015,13.0,Percentage,Population who felt discriminated in their contacts with public services
2017,10.0,Percentage,Population who felt discriminated in their contacts with public services
2019,9.0,Percentage,Population who felt discriminated in their contacts with public services
2021,8.0,Percentage,Population who felt discriminated in their contacts with public services
2023,11.0,Percentage,Population who felt discriminated in their contacts with public services
2024,4994.0,Number,Women and girls subjected to sexual violence by an intimate partner
2025,5694.0,Number,Women and girls subjected to sexual violence by an intimate partner
2025,15.53,"Per 100,000 female inhabitants",Women and girls subjected to sexual violence by an intimate partner
2018,0.009,Percentage,Women and girls subjected to sexual violence by an intimate partner
2019,0.009,Percentage,Women and girls subjected to sexual violence by an intimate partner
2020,0.01,Percentage,Women and girls subjected to sexual violence by an intimate partner
2021,0.011,Percentage,Women and girls subjected to sexual violence by an intimate partner
2022,0.012,Percentage,Women and girls subjected to sexual violence by an intimate partner
2023,0.012,Percentage,Women and girls subjected to sexual violence by an intimate partner
2024,0.014,Percentage,Women and girls subjected to sexual violence by an intimate partner
2025,0.016,Percentage,Women and girls subjected to sexual violence by an intimate partner
