Year,Units,Altersklasse,Geschlecht,Art der Opfer-Tatverdächtigen-Beziehung,Grad des Unsicherheitsgefühls,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Je 100 000 Einwohner/-innen,,,,,,,,Opfer von vorsätzlicher Tötung,0.97
2011,Je 100 000 Einwohner/-innen,,,,,,,,Opfer von vorsätzlicher Tötung,0.9
2012,Je 100 000 Einwohner/-innen,,,,,,,,Opfer von vorsätzlicher Tötung,0.81
2013,Je 100 000 Einwohner/-innen,,,,,|,,,Opfer von vorsätzlicher Tötung,0.86
2014,Je 100 000 Einwohner/-innen,,,,,,,,Opfer von vorsätzlicher Tötung,0.89
2015,Je 100 000 Einwohner/-innen,,,,,,,,Opfer von vorsätzlicher Tötung,0.84
2016,Je 100 000 Einwohner/-innen,,,,,,,,Opfer von vorsätzlicher Tötung,1.17
2017,Je 100 000 Einwohner/-innen,,,,,,,,Opfer von vorsätzlicher Tötung,0.99
2018,Je 100 000 Einwohner/-innen,,,,,,,,Opfer von vorsätzlicher Tötung,0.95
2019,Je 100 000 Einwohner/-innen,,,,,,,,Opfer von vorsätzlicher Tötung,0.75
2020,Je 100 000 Einwohner/-innen,,,,,,,,Opfer von vorsätzlicher Tötung,0.94
2021,Je 100 000 Einwohner/-innen,,,,,,,,Opfer von vorsätzlicher Tötung,0.84
2022,Je 100 000 Einwohner/-innen,,,,,,,,Opfer von vorsätzlicher Tötung,0.82
2023,Je 100 000 Einwohner/-innen,,,,,,,,Opfer von vorsätzlicher Tötung,0.91
2024,Je 100 000 Einwohner/-innen,,,,,|,,,Opfer von vorsätzlicher Tötung,0.93
2025,Je 100 000 Einwohner/-innen,,,,,,,,Opfer von vorsätzlicher Tötung,1.33
2010,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,0.75
2011,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,0.72
2012,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,0.9
2013,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,|,,,Opfer von vorsätzlicher Tötung,0.67
2014,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,0.64
2015,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,0.63
2016,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,0.67
2017,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,0.65
2018,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,0.67
2019,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,0.49
2020,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,0.74
2021,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,0.77
2022,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,0.47
2023,Je 100 000 Einwohner/-innen,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,0.65
