Year,Bildungsstand,Art der IKT-Kompetenz,Schulfach,Altersklasse,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2012,,Kopieren oder Verschieben von Dateien und Ordnern,,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,87.0
2013,,Kopieren oder Verschieben von Dateien und Ordnern,,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2014,,Kopieren oder Verschieben von Dateien und Ordnern,,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,94.0
2015,,Kopieren oder Verschieben von Dateien und Ordnern,,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,87.0
2016,,Kopieren oder Verschieben von Dateien und Ordnern,,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,86.0
2017,,Kopieren oder Verschieben von Dateien und Ordnern,,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,84.0
2018,,Kopieren oder Verschieben von Dateien und Ordnern,,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2019,,Kopieren oder Verschieben von Dateien und Ordnern,,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,82.0
2011,,"Verwendung von Werkzeugen zum Kopieren oder Ausschneiden und Einfügen, um Informationen auf dem Bildschirm zu duplizieren oder zu verschieben",,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,92.0
2012,,"Verwendung von Werkzeugen zum Kopieren oder Ausschneiden und Einfügen, um Informationen auf dem Bildschirm zu duplizieren oder zu verschieben",,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,85.0
2014,,"Verwendung von Werkzeugen zum Kopieren oder Ausschneiden und Einfügen, um Informationen auf dem Bildschirm zu duplizieren oder zu verschieben",,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,93.0
2010,,Schreiben eines Programmes in einer Programmiersprache,,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2011,,Schreiben eines Programmes in einer Programmiersprache,,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2012,,Schreiben eines Programmes in einer Programmiersprache,,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2013,,Schreiben eines Programmes in einer Programmiersprache,,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2014,,Schreiben eines Programmes in einer Programmiersprache,,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2015,,Schreiben eines Programmes in einer Programmiersprache,,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,12.0
2016,,Schreiben eines Programmes in einer Programmiersprache,,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,13.0
2017,,Schreiben eines Programmes in einer Programmiersprache,,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,12.0
2018,,Schreiben eines Programmes in einer Programmiersprache,,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2019,,Schreiben eines Programmes in einer Programmiersprache,,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,14.0
2020,,Schreiben eines Programmes in einer Programmiersprache,,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2021,,Schreiben eines Programmes in einer Programmiersprache,,16 bis unter 25 Jahre,|,,,Bevölkerung mit computerbezogenen Aktivitäten,10.1
2022,,Schreiben eines Programmes in einer Programmiersprache,,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2023,,Schreiben eines Programmes in einer Programmiersprache,,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,9.5
2024,,Schreiben eines Programmes in einer Programmiersprache,,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2025,,Schreiben eines Programmes in einer Programmiersprache,,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,9.6
2011,,"Anschließen und Installieren neuer Geräte, z. B. eines Druckers oder eines Modems",,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,62.0
2012,,"Anschließen und Installieren neuer Geräte, z. B. eines Druckers oder eines Modems",,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,57.0
2014,,"Anschließen und Installieren neuer Geräte, z. B. eines Druckers oder eines Modems",,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,62.0
2010,,Übertragung von Dateien zwischen Computern und anderen Geräten,,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2011,,Übertragung von Dateien zwischen Computern und anderen Geräten,,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,92.0
