Year,Bildungsstand,Art der IKT-Kompetenz,Schulfach,Altersklasse,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,,Übertragung von Dateien zwischen Computern und anderen Geräten,,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2011,,Übertragung von Dateien zwischen Computern und anderen Geräten,,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,63.0
2012,,Übertragung von Dateien zwischen Computern und anderen Geräten,,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,61.0
2013,,Übertragung von Dateien zwischen Computern und anderen Geräten,,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2014,,Übertragung von Dateien zwischen Computern und anderen Geräten,,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,68.0
2015,,Übertragung von Dateien zwischen Computern und anderen Geräten,,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,63.0
2016,,Übertragung von Dateien zwischen Computern und anderen Geräten,,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,65.0
2017,,Übertragung von Dateien zwischen Computern und anderen Geräten,,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,66.0
2018,,Übertragung von Dateien zwischen Computern und anderen Geräten,,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2019,,Übertragung von Dateien zwischen Computern und anderen Geräten,,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,69.0
2020,,Übertragung von Dateien zwischen Computern und anderen Geräten,,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2021,,Übertragung von Dateien zwischen Computern und anderen Geräten,,25 bis unter 65 Jahre,|,,,Bevölkerung mit computerbezogenen Aktivitäten,54.7
2022,,Übertragung von Dateien zwischen Computern und anderen Geräten,,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2023,,Übertragung von Dateien zwischen Computern und anderen Geräten,,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,62.3
2024,,Übertragung von Dateien zwischen Computern und anderen Geräten,,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2025,,Übertragung von Dateien zwischen Computern und anderen Geräten,,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,63.4
2010,,Installation von Software oder Anwendungen (Apps),,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2011,,Installation von Software oder Anwendungen (Apps),,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2012,,Installation von Software oder Anwendungen (Apps),,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2013,,Installation von Software oder Anwendungen (Apps),,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2014,,Installation von Software oder Anwendungen (Apps),,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2015,,Installation von Software oder Anwendungen (Apps),,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,63.0
2016,,Installation von Software oder Anwendungen (Apps),,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,66.0
2017,,Installation von Software oder Anwendungen (Apps),,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,65.0
2018,,Installation von Software oder Anwendungen (Apps),,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2019,,Installation von Software oder Anwendungen (Apps),,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,72.0
2020,,Installation von Software oder Anwendungen (Apps),,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2021,,Installation von Software oder Anwendungen (Apps),,25 bis unter 65 Jahre,|,,,Bevölkerung mit computerbezogenen Aktivitäten,45.9
2022,,Installation von Software oder Anwendungen (Apps),,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2023,,Installation von Software oder Anwendungen (Apps),,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,55.3
2024,,Installation von Software oder Anwendungen (Apps),,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2025,,Installation von Software oder Anwendungen (Apps),,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,56.8
2010,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2011,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,32.0
2012,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,30.0
2013,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2014,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,33.0
2015,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2016,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2017,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2018,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2019,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2020,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2021,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,23.8
2022,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2023,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,27.2
2024,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2025,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,28.3
2010,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2011,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2012,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2013,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2014,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2015,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,35.0
2016,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,34.0
2017,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,37.0
2018,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2019,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,37.0
2020,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2021,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,25 bis unter 65 Jahre,|,,,Bevölkerung mit computerbezogenen Aktivitäten,26.9
2022,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2023,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,30.2
2024,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2025,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,32.6
