Year,Value,Units,Series
2010,0.97,Je 100 000 Einwohner/-innen,Opfer von vorsätzlicher Tötung
2011,0.9,Je 100 000 Einwohner/-innen,Opfer von vorsätzlicher Tötung
2012,0.81,Je 100 000 Einwohner/-innen,Opfer von vorsätzlicher Tötung
2014,0.89,Je 100 000 Einwohner/-innen,Opfer von vorsätzlicher Tötung
2015,0.84,Je 100 000 Einwohner/-innen,Opfer von vorsätzlicher Tötung
2016,1.17,Je 100 000 Einwohner/-innen,Opfer von vorsätzlicher Tötung
2017,0.99,Je 100 000 Einwohner/-innen,Opfer von vorsätzlicher Tötung
2018,0.95,Je 100 000 Einwohner/-innen,Opfer von vorsätzlicher Tötung
2019,0.75,Je 100 000 Einwohner/-innen,Opfer von vorsätzlicher Tötung
2020,0.94,Je 100 000 Einwohner/-innen,Opfer von vorsätzlicher Tötung
2021,0.84,Je 100 000 Einwohner/-innen,Opfer von vorsätzlicher Tötung
2022,0.82,Je 100 000 Einwohner/-innen,Opfer von vorsätzlicher Tötung
2023,0.91,Je 100 000 Einwohner/-innen,Opfer von vorsätzlicher Tötung
2025,1.33,Je 100 000 Einwohner/-innen,Opfer von vorsätzlicher Tötung
2010,793.0,Anzahl,Opfer von vorsätzlicher Tötung
2011,738.0,Anzahl,Opfer von vorsätzlicher Tötung
2012,659.0,Anzahl,Opfer von vorsätzlicher Tötung
2013,682.0,Anzahl,Opfer von vorsätzlicher Tötung
2014,716.0,Anzahl,Opfer von vorsätzlicher Tötung
2015,682.0,Anzahl,Opfer von vorsätzlicher Tötung
2016,963.0,Anzahl,Opfer von vorsätzlicher Tötung
2017,813.0,Anzahl,Opfer von vorsätzlicher Tötung
2018,788.0,Anzahl,Opfer von vorsätzlicher Tötung
2019,623.0,Anzahl,Opfer von vorsätzlicher Tötung
2020,782.0,Anzahl,Opfer von vorsätzlicher Tötung
2021,695.0,Anzahl,Opfer von vorsätzlicher Tötung
2022,686.0,Anzahl,Opfer von vorsätzlicher Tötung
2023,770.0,Anzahl,Opfer von vorsätzlicher Tötung
2024,779.0,Anzahl,Opfer von vorsätzlicher Tötung
2025,1112.0,Anzahl,Opfer von vorsätzlicher Tötung
2010,88.0,Prozent,"Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt"
2011,87.1,Prozent,"Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt"
2012,87.5,Prozent,"Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt"
2013,86.5,Prozent,"Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt"
2014,86.9,Prozent,"Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt"
2015,86.2,Prozent,"Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt"
2016,85.9,Prozent,"Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt"
2017,85.8,Prozent,"Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt"
2018,86.7,Prozent,"Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt"
2019,86.9,Prozent,"Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt"
2023,89.3,Prozent,"Bevölkerung, in deren Wohnumgebung es keine Kriminalität, Gewalt oder Vandalismus gibt"
