Year,Value,Units,Series
2013,6.3,,NEET-Rate von Jugendlichen (15 bis unter 25 Jahre)
2014,6.4,,NEET-Rate von Jugendlichen (15 bis unter 25 Jahre)
2015,6.2,,NEET-Rate von Jugendlichen (15 bis unter 25 Jahre)
2016,6.7,,NEET-Rate von Jugendlichen (15 bis unter 25 Jahre)
2017,6.3,,NEET-Rate von Jugendlichen (15 bis unter 25 Jahre)
2018,5.9,,NEET-Rate von Jugendlichen (15 bis unter 25 Jahre)
2019,5.7,,NEET-Rate von Jugendlichen (15 bis unter 25 Jahre)
2022,6.9,,NEET-Rate von Jugendlichen (15 bis unter 25 Jahre)
2023,7.5,,NEET-Rate von Jugendlichen (15 bis unter 25 Jahre)
2025,8.2,,NEET-Rate von Jugendlichen (15 bis unter 25 Jahre)
