Year,Value,Units,Series
2015,13.0,Prozent,"Bevölkerung, die sich in die letzten zwei Jahren im Kontakt mit öffentlichen Diensten diskriminiert gefühlt hat"
2017,10.0,Prozent,"Bevölkerung, die sich in die letzten zwei Jahren im Kontakt mit öffentlichen Diensten diskriminiert gefühlt hat"
2019,9.0,Prozent,"Bevölkerung, die sich in die letzten zwei Jahren im Kontakt mit öffentlichen Diensten diskriminiert gefühlt hat"
2021,8.0,Prozent,"Bevölkerung, die sich in die letzten zwei Jahren im Kontakt mit öffentlichen Diensten diskriminiert gefühlt hat"
2023,11.0,Prozent,"Bevölkerung, die sich in die letzten zwei Jahren im Kontakt mit öffentlichen Diensten diskriminiert gefühlt hat"
2024,4994.0,Anzahl,Weibliche Opfer von sexueller Gewalt durch Intimpartner/-innen
2024,13.64,Je 100 000 Einwohnerinnen,Weibliche Opfer von sexueller Gewalt durch Intimpartner/-innen
2018,0.01,Prozent,Weibliche Opfer von sexueller Gewalt durch Intimpartner/-innen
2019,0.01,Prozent,Weibliche Opfer von sexueller Gewalt durch Intimpartner/-innen
2020,0.01,Prozent,Weibliche Opfer von sexueller Gewalt durch Intimpartner/-innen
2021,0.01,Prozent,Weibliche Opfer von sexueller Gewalt durch Intimpartner/-innen
2022,0.01,Prozent,Weibliche Opfer von sexueller Gewalt durch Intimpartner/-innen
2023,0.01,Prozent,Weibliche Opfer von sexueller Gewalt durch Intimpartner/-innen
2024,0.01,Prozent,Weibliche Opfer von sexueller Gewalt durch Intimpartner/-innen
