Year,Units,Series,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Jahre,Gesunde Lebenserwartung bei der Geburt,,,,,58.3
2011,Jahre,Gesunde Lebenserwartung bei der Geburt,,,,,58.2
2012,Jahre,Gesunde Lebenserwartung bei der Geburt,,,,,57.6
2013,Jahre,Gesunde Lebenserwartung bei der Geburt,,,,,57.4
2014,Jahre,Gesunde Lebenserwartung bei der Geburt,,,,,56.5
2015,Jahre,Gesunde Lebenserwartung bei der Geburt,,|,,,66.4
2016,Jahre,Gesunde Lebenserwartung bei der Geburt,,,,,66.4
2017,Jahre,Gesunde Lebenserwartung bei der Geburt,,,,,66.0
2018,Jahre,Gesunde Lebenserwartung bei der Geburt,,,,,65.8
2019,Jahre,Gesunde Lebenserwartung bei der Geburt,,,,,66.3
2020,Jahre,Gesunde Lebenserwartung bei der Geburt,,|,,,65.7
2021,Jahre,Gesunde Lebenserwartung bei der Geburt,,,,,65.6
2022,Jahre,Gesunde Lebenserwartung bei der Geburt,,|,,,61.1
2023,Jahre,Gesunde Lebenserwartung bei der Geburt,,|,,,62.5
2024,Jahre,Gesunde Lebenserwartung bei der Geburt,,,,,62.4
2010,Jahre,Gesunde Lebenserwartung bei der Geburt,Weiblich,,,,58.7
2011,Jahre,Gesunde Lebenserwartung bei der Geburt,Weiblich,,,,58.6
2012,Jahre,Gesunde Lebenserwartung bei der Geburt,Weiblich,,,,57.9
2013,Jahre,Gesunde Lebenserwartung bei der Geburt,Weiblich,,,,57.0
2014,Jahre,Gesunde Lebenserwartung bei der Geburt,Weiblich,,,,56.5
2015,Jahre,Gesunde Lebenserwartung bei der Geburt,Weiblich,|,,,67.5
2016,Jahre,Gesunde Lebenserwartung bei der Geburt,Weiblich,,,,67.3
2017,Jahre,Gesunde Lebenserwartung bei der Geburt,Weiblich,,,,66.7
2018,Jahre,Gesunde Lebenserwartung bei der Geburt,Weiblich,,,,66.3
2019,Jahre,Gesunde Lebenserwartung bei der Geburt,Weiblich,,,,67.1
2020,Jahre,Gesunde Lebenserwartung bei der Geburt,Weiblich,|,,,66.8
2021,Jahre,Gesunde Lebenserwartung bei der Geburt,Weiblich,,,,66.5
2022,Jahre,Gesunde Lebenserwartung bei der Geburt,Weiblich,|,,,61.2
2023,Jahre,Gesunde Lebenserwartung bei der Geburt,Weiblich,|,,,63.0
2024,Jahre,Gesunde Lebenserwartung bei der Geburt,Weiblich,,,,62.6
2010,Jahre,Gesunde Lebenserwartung bei der Geburt,Männlich,,,,57.9
2011,Jahre,Gesunde Lebenserwartung bei der Geburt,Männlich,,,,57.8
2012,Jahre,Gesunde Lebenserwartung bei der Geburt,Männlich,,,,57.3
2013,Jahre,Gesunde Lebenserwartung bei der Geburt,Männlich,,,,57.7
2014,Jahre,Gesunde Lebenserwartung bei der Geburt,Männlich,,,,56.4
2015,Jahre,Gesunde Lebenserwartung bei der Geburt,Männlich,|,,,65.3
2016,Jahre,Gesunde Lebenserwartung bei der Geburt,Männlich,,,,65.3
2017,Jahre,Gesunde Lebenserwartung bei der Geburt,Männlich,,,,65.1
2018,Jahre,Gesunde Lebenserwartung bei der Geburt,Männlich,,,,65.1
2019,Jahre,Gesunde Lebenserwartung bei der Geburt,Männlich,,,,65.4
2020,Jahre,Gesunde Lebenserwartung bei der Geburt,Männlich,|,,,64.7
2021,Jahre,Gesunde Lebenserwartung bei der Geburt,Männlich,,,,64.7
2022,Jahre,Gesunde Lebenserwartung bei der Geburt,Männlich,|,,,60.9
2023,Jahre,Gesunde Lebenserwartung bei der Geburt,Männlich,|,,,62.1
2024,Jahre,Gesunde Lebenserwartung bei der Geburt,Männlich,,,,62.1
2010,Prozent,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten),,,,,6.9
2011,Prozent,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten),,,,,6.9
2012,Prozent,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten),,,,,6.9
2013,Prozent,Babys mit niedrigem Geburtsgewicht (Anteil an den Geburten),,,,,6.6
