Value,Disaggregation combinations using this value,Number of indicators
coasts/seas sub-indicator,1,1
farmland sub-indicator,1,1
forest sub-indicator,1,1
inland waters sub-indicator,1,1
settlements sub-indicator,1,1
total,2,1
