Value,Disaggregation combinations using this value,Number of indicators
baden-württemberg,3,2
bavaria,3,2
berlin,3,2
brandenburg,3,2
bremen,3,2
germany,1,1
hamburg,3,2
hesse,3,2
lower saxony,3,2
north rhine-westphalia,3,2
rhineland palatinate,3,2
saarland,3,2
saxony-anhalt,3,2
saxony,3,2
schleswig-holstein,3,2
