Value,Disaggregation combinations using this value,Number of indicators
"connecting and installing new devices, eg a printer or a modem",4,2
copying or moving of files and folders,4,2
"creating files integrating elements such as text, pictures, tables, charts, animations or sound",4,2
installing software or apps,4,2
transferring files between computer and other devices,4,2
using copy or cut and paste tools to duplicate or move information on screen,4,2
"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",4,2
writing code in a programming language,4,2
